City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,bodaybo,57.8506,114.1933,283.01,72,99,4.36,RU,1718503409
289,bamboo flat,11.7,92.7167,302.2,84,40,2.57,IN,1718503409
290,la dorada,5.4478,-74.6631,297.58,94,100,1.03,CO,1718503409
291,hammerfest,70.6634,23.6821,279.4,100,100,4.63,NO,1718503409
292,mossel bay,-34.1831,22.146,285.11,86,100,3.31,ZA,1718503409
293,san luis,-33.295,-66.3356,285.82,59,100,1.48,AR,1718503273
294,la mira tumbiscatio,18.6833,-102.2833,302.1,70,0,3.0,MX,1718503409
295,mersa matruh,31.3525,27.2453,297.26,88,40,4.12,EG,1718503409
296,quinte west,44.1834,-77.5662,289.89,59,20,3.09,CA,1718503410
297,lorengau,-2.0226,147.2712,301.72,77,100,3.36,PG,1718503410
298,new norfolk,-42.7826,147.0587,284.22,78,100,2.34,AU,1718503410
299,sosnovka,56.255,51.2842,292.76,90,16,1.09,RU,1718503410
300,olenino,56.2092,33.4889,284.96,87,48,2.56,RU,1718503410
301,tokar,18.4254,37.729,302.85,47,0,1.85,SD,1718503410
302,malanje,-9.5402,16.341,286.02,35,100,1.94,AO,1718503410
303,alofi,-19.0595,-169.9187,300.09,78,75,4.63,NU,1718503410
304,conceicao da barra,-18.5933,-39.7322,294.7,90,2,0.28,BR,1718503410
305,kill devil hills,36.0307,-75.676,295.92,84,0,4.12,US,1718503384
306,nizhniy novgorod,56.3287,44.002,290.7,100,50,2.0,RU,1718503204
307,pisco,-13.7,-76.2167,290.18,88,100,2.06,PE,1718503410
308,kuala belait,4.5833,114.1833,300.24,91,100,3.57,BN,1718503212
309,yanam,16.7333,82.2167,304.56,58,34,3.32,IN,1718503411
310,sao gabriel da cachoeira,-0.1303,-67.0892,296.13,99,100,0.71,BR,1718503210
311,puerto deseado,-47.7503,-65.8938,278.14,64,99,2.51,AR,1718503283
312,newman,37.3138,-121.0208,303.72,27,0,7.15,US,1718503358
313,olyokminsk,60.3736,120.4264,280.57,94,100,4.48,RU,1718503411
314,atafu village,-8.5421,-172.5159,301.98,73,23,4.52,TK,1718503171
315,chernyshevskiy,63.0128,112.4714,285.95,40,94,4.04,RU,1718503411
316,nyala,12.05,24.8833,302.01,46,88,3.3,SD,1718503411
317,sarangani,5.4033,125.4636,300.81,78,100,3.46,PH,1718503411
318,tura,25.5198,90.2201,300.35,92,94,2.81,IN,1718503178
319,banswara,23.55,74.45,304.44,54,75,5.84,IN,1718503411
320,polyarnyy,69.1989,33.4478,283.36,95,100,4.02,RU,1718503411
321,sotik post,-0.7813,35.3416,285.99,98,84,1.19,KE,1718503412
322,ellsworth,44.5434,-68.4195,288.45,70,0,2.06,US,1718503388
323,nuku'alofa,-21.1333,-175.2,301.34,83,40,4.12,TO,1718503412
324,port moresby,-9.4431,147.1797,303.83,55,40,5.14,PG,1718503412
325,ar ruways,24.1103,52.7306,304.87,38,0,3.56,AE,1718503412
326,aykhal,66.0,111.5,282.84,47,100,7.34,RU,1718503412
327,sinnar,13.5691,33.5672,301.11,57,100,5.88,SD,1718503412
328,livingston,55.9029,-3.5226,283.64,90,75,2.06,GB,1718503250
329,east london,-33.0153,27.9116,289.76,80,44,2.27,ZA,1718503413
330,san mariano,7.5,126.0,302.11,71,90,1.42,PH,1718503413
331,kachug,53.9606,105.8817,295.96,40,16,0.45,RU,1718503413
332,taroa,8.7058,171.2275,301.64,78,74,6.07,MH,1718503413
333,barda,40.3744,47.1267,296.12,73,0,0.68,AZ,1718503413
334,santa elena de uairen,4.6167,-61.1333,291.89,89,100,1.34,VE,1718503413
335,akcaabat,41.0212,39.5715,296.08,60,75,2.06,TR,1718503413
336,rmi capitol,7.0893,171.3805,303.12,79,100,3.09,MH,1718503413
337,portimao,37.1386,-8.5378,287.72,84,0,4.46,PT,1718503413
338,rongelap,11.1635,166.8941,301.4,77,31,6.77,MH,1718503413
339,chui,-33.6971,-53.4616,284.46,87,0,0.97,UY,1718503414
340,magadan,59.5667,150.8,287.33,80,84,3.43,RU,1718503391
341,trevelin,-43.0858,-71.4639,277.86,93,100,1.92,AR,1718503414
342,north bend,43.4065,-124.2243,290.51,63,0,4.63,US,1718503414
343,ancud,-41.8697,-73.8203,281.81,82,100,3.88,CL,1718503212
344,suva,-18.1416,178.4415,300.86,83,75,1.03,FJ,1718503414
345,sacaba,20.5833,-89.9833,298.0,97,85,2.61,MX,1718503414
346,isafjordur,66.0755,-23.124,281.79,77,47,2.99,IS,1718503414
347,keflavik,64.0049,-22.5624,283.1,100,100,5.14,IS,1718503414
348,igrim,63.1906,64.4162,283.53,94,100,4.08,RU,1718503414
349,san antonio,29.4241,-98.4936,306.44,57,0,8.75,US,1718502872
350,isabela,6.7085,121.9711,300.18,68,82,0.8,PH,1718503414
351,campo gallo,-26.5833,-62.85,290.16,60,100,2.77,AR,1718503415
352,sinabang,2.4803,96.3801,299.22,90,100,4.67,ID,1718503415
353,ajaccio,42.0,8.9167,289.18,87,0,3.6,FR,1718503342
354,balabac,7.9868,117.0645,303.28,69,44,4.33,PH,1718503415
355,fengcheng,40.4536,124.0717,299.18,44,3,4.31,CN,1718503415
356,strathalbyn,-35.2667,138.9,288.19,99,1,2.77,AU,1718503415
357,nova sintra,14.8667,-24.7167,296.77,81,14,4.86,CV,1718503415
358,oroqen zizhiqi,50.5667,123.7167,287.48,96,100,1.56,CN,1718503415
359,silifke,36.3778,33.9344,298.75,57,0,2.61,TR,1718503415
360,buarcos,40.166,-8.8768,288.14,89,100,3.59,PT,1718503331
